publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,lifestage,trophic_level,range_edge,species_type,number_species,note.spp,detailobs,notes_obs,measurement_type,decadal_change_daysperdecade,decadal unit,metric_source,note.bio,notes,consistent_with_climatechange,Exploited,Nonclimatic_factors_analysed,season,SeasonalClimateShift_daysperdecade,depth_category,LifeHistoryDevelopment
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Rhizosolenia alata alata,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-7.540572722,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Thalassiothrix longissima,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-7.203081722,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Larvacea,NA,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-6.681071833,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Spring,0.359862306,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Evadne spp.,Cladoceran,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-6.528099722,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Prorocentrum spp.,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-6.192096778,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium tripos,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-6.179001889,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium furca,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-6.088825722,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Protoperidinium spp.,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-5.892997611,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Odontella aurita,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,Odontella aurita was introduced into the North Sea in early 1900s,Phenology,centroid month,Population,-5.885259722,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Candacia armata,Copepod,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-5.73199,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Dinophysis spp.,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-5.376047111,days,Supplied directly by authors,Yes statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Chaetognatha,Arrow worm,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-5.067126778,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Harpacticoida,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-4.978736278,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Fragilaria spp.,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-4.908797667,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Tomopteris spp.,NA,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-4.185900278,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Asterionella glacialis,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.996322,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium horridum,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.6829375,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Rhizosolenia imbrica shrubsolei,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.566869167,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Centropages typicus,Copepod,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.530263,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium lineatum,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.199021833,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Decapod larvae,Decapoda,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.180867556,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Centropages hamatus,Copepod,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-3.133249778,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Cumacea,NA,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.770789206,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Lamellibranchia larvae,NA,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.759033567,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Cyphonautes,NA,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.7181418,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Para-pseudocalanus spp.,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.711951489,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Pseudocalanus elongatus,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.574990856,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Labidocera wollastoni,Copepod,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.520974439,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Rhizosolenia hebetata semispina,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.482314756,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Calanus finmarchicus,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.270713256,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Podon spp.,Cladoceran,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-2.230892889,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Paralia sulcata,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-1.993250417,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,polychaete assemblage,Polychaeta larvae,Larvae,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-1.7645958,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Oithona spp.,Copepod,Multiple life stages,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-1.698645178,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Barnacle community,Cirripede larvae,Larvae,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-1.369100394,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Summer,0.004641273,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Odontella sinensis,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-0.934588172,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Acartia spp.,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-0.807954644,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Gammaridea,amphipod,Multiple life stages,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,-0.336360078,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Consistent,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Zooplankton,Taxa,Temora longicornis,Copepod,Multiple life stages,Primary consumer: Herbivore grazer and browser,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,1.362582711,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Skeletonema costatum,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,1.814029006,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
2004,"Edwards, M. and A.J. Richardson. 2004. Impact of climate change on marine pelagic phenology and trophic mismatch. Nature 430: 881-884.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,55,5,100000,Number of study sites = NA because sampled throughout central North Sea,1958,2002,45,45,Continuous,19644,Phytoplankton,Taxa,Ceratium longipes,NA,Multiple life stages,Primary producer,Centre,Cosmopolitan,50,NA,Phenology,centroid month,Population,2.865310494,days,Supplied directly by authors,Not statistically significant,Plankton with single seasonal peaks considered only; Degree C Value calculated by dividing number of days change by total warming (here 0.9oC given in paper),Opposite to expected,Not exploited,No,Autumn,-0.553334614,Pelagic,Planktonic
