publication_year,reference,pubtype,ocean,ocean_region,hemisphere,lat,long,size_km2,notes.geo,year_start,year_end,timespan,years_data,sampling_frequency,note.time,taxa,group,species_name,common_name,depth_category,lifestage,trophic,range_edge,species_type,number_species,note.spp,detailobs,measurement_type,direction_change,decadal_change_kmperdecade,decadal unit,metric_source,note.bio,consistent_with_climatechange,VelocityofClimateChange_kmperdec,exploited,LifeHistoryDevelopment,Nonclimatic_factors_analysed
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Urophycis tenuis,White hake,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,1,21,km,Given in manuscript or supplementary material,from table 3,Consistent,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Hippoglossus hippoglossus,Atlantic halibut,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,1,25.7,km,Given in manuscript or supplementary material,from table 3,Consistent,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Urophycis regia,Spotted hake,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,34.4,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Merluccius bilinearis,Silver hake Northern,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,1,35.8,km,Given in manuscript or supplementary material,from table 3,Consistent,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Scophthalmus aquosus,Windowpane flounder,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,38.1,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Limanda ferruginea,Yellowtail flounder-southern,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,43.2,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Alosa pseudoharengus,Alewife,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,54.7,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Urophycis chuss,Red hake_southern,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,55.2,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Alosa sapidissima,American shad,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,68.6,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Helicolenus dactylopterus,Blackbelly rosefish,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,1,85.3,km,Given in manuscript or supplementary material,from table 3,Consistent,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,GOM ecoregion,1968,2007,40,40,Continuous,NA,Non-bony fish,Taxa,Amblyraja radiata,Thorny skate,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Trailing edge,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Benthic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Clupea harengus,Atlantic herring,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Melanogrammus aeglefinus,Haddock GOM,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Melanogrammus aeglefinus,Haddock GB,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Pollachius virens,Pollock,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Brosme brosme,Cusk,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Hippoglossoides platessoides,American plaice,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Paralichthys dentatus,Summer flounder,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Paralichthys oblongus,Fourspot flounder,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Brosme brosme,Yellowtail flounder_northern,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Scomber scombrus,Atlantic mackerel,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Sebastes fasciatus,Acadian redfish,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Hemitripterus americanus,Sea raven,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Anarhichas lupus,Atlantic wolffish,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Non-bony fish,Taxa,Squalus acanthias,Spiny dogfish,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,0,0,km,Given in manuscript or supplementary material,from table 3,No change,207.530428,Exploited,Benthic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Pseudopleuronectes americanus,Winter flounder-northern,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cold water,30,NA,poleward movement of abundance centre,Abund.,-1,-38.2,km,Given in manuscript or supplementary material,from table 3,Opposite to expected,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,NA,1968,2007,40,40,Continuous,NA,Non-bony fish,Taxa,Leucoraja ocellata,Winter skate,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,-1,-13.5,km,Given in manuscript or supplementary material,from table 3,Opposite to expected,207.530428,Exploited,Benthic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,43,-68,1000000,NA,1968,2007,40,40,Continuous,NA,Bony fish,Taxa,Gadus morhua,Atlantic cod GOM,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Cosmopolitan,30,NA,poleward movement of abundance centre,Abund.,-1,-8.3,km,Given in manuscript or supplementary material,from table 3,Opposite to expected,326.7683278,Exploited,Meroplanktonic,No
2009,"Nye, J.A., J.S. Link, J.A. Hare and W.J. Overholtz. 2009. Changing spatial distribution of fish stocks in relation to climate and population size on the Northeast United States continental shelf. Marine Ecology Progress Series. 393: 111-129",Peer-reviewed journal,North-west Atlantic,Atlantic Ocean,Northern,40,-71,1000000,George's bank and south ecoregion,1968,2007,40,40,Continuous,NA,Non-bony fish,Taxa,Leucoraja erinacea,Little skate,Demersal,Adult: breeding and non-breeding or unspecified,"Secondary consumer : Carnivore, detritivore, scavenger",Centre,Warm water,30,NA,poleward movement of abundance centre,Abund.,-1,-8.3,km,Given in manuscript or supplementary material,from table 3,Opposite to expected,207.530428,Exploited,Benthic,No
2009,"Beukema, J.J., Dekker, R., Jansen, J.M. 2009. Some like it cold: populations of the tellinid bivalve Macoma balthica (L.) suffer in various ways from a warming climate. Marine Ecology Progress Series 384: 135_145",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,44,-4,1000,NA,1960,2007,48,3,Two periods,NA,Benthic molluscs,Taxa,Macoma balthica rubra,bivalve,Coastal,Adult: breeding and non-breeding or unspecified,Secondary consumer : Omnivore suspension feeder,Trailing edge,Cold water,1,NA,Northwards range contraction,Site,1,-60.2,km,Calculated from manuscript or supplementary material,NA,Consistent,1000,Not exploited,Meroplanktonic,No
2009,"Ben Rais Lasram, F. and D. Mouillot. 2009. Increasing southern invasion enhances congruence between endemic and exotic Mediterranean fish fauna. Biological Invasions 11:697-711",Peer-reviewed journal,Mediterranean Sea,Semi-enclosed seas,Northern,35,18,10000000,new species entering via suez canal and straits of gibralter,1900,2006,107,37,Irregular,historical data of first sightings. Yrs data approx,Bony fish,Assemblage,NA,Invasive sp,Coastal,Multiple life stages - juvenile and older (not egg or larvae),"Secondary consumer : Carnivore, detritivore, scavenger",Leading edge,Warm water,3,NA,Spread of invasive species,Site,1,150,km,Calculated from manuscript or supplementary material,given in results (300km since 1980s),Consistent,723.0942729,Exploited,Meroplanktonic,No
2005,"Beukema, J.J. and R. Dekker. 2005. Decline of recruitment success in cockles and other bivalves in the Wadden Sea: possible role of climate change, predation on postlarvae and fisheries. Marine Ecology Progress Series 287: 149-167",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,52.92,4.85,100,NA,1973,2002,30,2,Two periods,data 15 year means: first vs last,Benthic molluscs,Taxa,Cerastoderma edule,Cockle,Coastal,Juvenile,Secondary consumer : Omnivore suspension feeder,Centre,Cosmopolitan,4,NA,Mean distance of recruits from coast hence depth,Abund.,-1,-0.87,km,Calculated from manuscript or supplementary material,NA,Consistent,1000,Exploited,Meroplanktonic,No
2007,"Cubillos, J.C., S.W. Wright, G. Nash, M.F. de Salas, B. Griffiths, B. Tilbrook., A. Poisson and G.M. Hallegraeff. 2007. Calcification morphotypes of the coccolithophorid Emiliania huxleyi  in the Southern Ocean: changes in 2001 to 2006 compared to histori",Peer-reviewed journal,SOUTHERN OCEAN,Polar seas,Southern,-53,143,100000,NA,1983,2006,24,9,Irregular,NA,Phytoplankton,Taxa,Emiliania huxleyi,NA,Pelagic,Multiple life stages - juvenile and older (not egg or larvae),Primary producer,Leading edge,Cold water,1,NA,Appearence in samples,Site,1,693.75,km,Calculated from manuscript or supplementary material,Calculated from 5 degrees lat * 111 km / 8 yrs * 10 yrs,Consistent,69.0535545,Not exploited,Planktonic,No
2010,"Dawson, M. N., R. K. Grosberg, Y. E. Stuart, and E. Sanford. 2010. Population genetic analysis of a recent range expansion: mechanisms regulating the poleward range limit in the volcano barnacle Tetraclita rubescens. Molecular Ecology 19:1585-1605",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,39.27,-124,1000,NA,1970,1996,27,4,Two periods,NA,Benthic crustacea,Taxa,Tetraclita rubescens,volcano barnacle,Coastal,Adult: breeding and non-breeding or unspecified,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,1,NA,northwards range shift,Site,1,119,km,Calculated from manuscript or supplementary material,NA,Consistent,-575.2134841,Not exploited,Meroplanktonic,No
2007,"Edward, D.A., J.E. Blyth, R. McKee and A. Simon Gilburn. 2007. Change in the distribution of a member of the strand line community: the seaweed fly (Diptera: Coelopidae). Ecological Entomology 32: 741_746",Peer-reviewed journal,North-east Atlantic,Atlantic Ocean,Northern,59.3,-2.5,1000000,NA,1967,2005,39,7,Irregular,Total study sites including historical and present,Benthic invert. (other),Taxa,Coelopa pilipes,seaweed fly,Coastal,Multiple life stages,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,2,NA,Presence / absence,Site,1,56,km,Calculated from manuscript or supplementary material,Rate reported in Sorte et al. 2010 GCB,Consistent,1000,Not exploited,Benthic,No
2006,"Mieszkowska, N., M.A. Kendall, S.J. Hawkins, R. Leaper, P. Williamson, N.J. Hardman-Mountford and A.J. Southward. 2006. Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,50.51,-2.45,100000,NA,1936,2003,68,8,Irregular,NA,Benthic algae,Taxa,Bifurcaria bifurcata ,NA,Coastal,Adult: breeding and non-breeding or unspecified,Primary producer,Leading edge,Warm water,5,NA,Northern range limit,Site,1,77.78,km,Calculated from manuscript or supplementary material,In text a range expansion of 140km given in NE direction. It seems earler survey occurred in 1986. Norhterly range extension is ~17km per decade,Consistent,869.683345,Not exploited,Meroplanktonic,No
2006,"Mieszkowska, N., M.A. Kendall, S.J. Hawkins, R. Leaper, P. Williamson, N.J. Hardman-Mountford and A.J. Southward. 2006. Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",Peer-reviewed journal,English Channel,Atlantic Ocean,Northern,50.63,-2.37,100000,NA,1952,2003,52,8,Irregular,Data points not clear. 800=400 sites * 2 surveys,Benthic molluscs,Taxa,Osilinus lineatus ,NA,Coastal,Multiple life stages - juvenile and older (not egg or larvae),Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,5,NA,Northern range limit,Site,1,27.78,km,Calculated from manuscript or supplementary material,In text a range expansion of 50km given in an easterly direction. It seems earler survey occurred in 1986. Northerly range extension would be negative,Consistent,869.683345,Not exploited,Meroplanktonic,No
2006,"Mieszkowska, N., M.A. Kendall, S.J. Hawkins, R. Leaper, P. Williamson, N.J. Hardman-Mountford and A.J. Southward. 2006. Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",Peer-reviewed journal,North Sea,Atlantic Ocean,Northern,58.44,-4.3,100000,NA,1952,2003,52,19,Irregular,NA,Benthic molluscs,Taxa,Gibbula umbilicalis ,NA,Coastal,Multiple life stages - juvenile and older (not egg or larvae),Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,5,NA,Northern range limit,Site,1,28.95,km,Calculated from manuscript or supplementary material,In text a range expansion of 55km given in NE direction. ,Consistent,287.779574,Not exploited,Meroplanktonic,No
2009,"Ling, S. D., C. R. Johnson, K. Ridgway, A. J. Hobday, and M. Haddon. 2009. Climate-driven range extension of a sea urchin: inferring future trends by analysis of recent population dynamics. Global Change Biology 15:719-731.",Peer-reviewed journal,Bass Strait,Pacific Ocean,Southern,-43.37,145.93,1000,NA,1960,2005,46,5,Irregular,NA,Benthic invert. (other),Taxa,Centrostephanus rodgersii,sea urchin,Coastal,Adult: breeding and non-breeding or unspecified,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,1,NA,Southern range expansion,Site,1,160,km,Given in manuscript or supplementary material,NA,Consistent,229.0968178,Not exploited,Meroplanktonic,No
1999,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,37.46,-122.45,100,NA,1966,1996,31,9,Irregular,methods are discriptive & brought up in the discussion,Benthic molluscs,Taxa,Serpulorbis squamigerus,snail,Coastal,Adult: breeding and non-breeding or unspecified,Secondary consumer : Omnivore suspension feeder,Leading edge,Warm water,21,NA,Northern range expansion,Site,1,53.12,km,Calculated from manuscript or supplementary material,range shift since 1980,Consistent,-168.0096952,Not exploited,Meroplanktonic,No
1999,"Sagarin, R. D., J. P. Barry, S. E. Gilman, and C. H. Baxter. 1999. Climate-related change in an intertidal community over short and long time scales. Ecological Monographs 69:465-490",Peer-reviewed journal,North-east Pacific,Pacific Ocean,Northern,41.84,-124.13,100,NA,1954,1993,40,2,Two periods,methods are discriptive and based on historic records,Benthic molluscs,Taxa,Lepidochitona hartwegii,chiton,Coastal,Adult: breeding and non-breeding or unspecified,Primary consumer: Herbivore grazer and browser,Leading edge,Warm water,21,NA,Northern range expansion,Site,1,151.75,km,Calculated from manuscript or supplementary material,NA,Consistent,-950.9639981,Not exploited,Meroplanktonic,No
