paperID,enteredby,study_biome,study_continent,study_location,exp_obs,n_years,study_level,n_species,taxongroup_studied,species_group,species_order,phenophase,track_what,track_yesno,track_yesno_how,track_min,track_max,track_avg,track_notes,track_minmax_unit,trait,trait_type,link_trackingandtrait_yesno,link_trackingandtrait_posneg,link_trackingandtrait_posneg_explain,link_trackingandtrait_rsq,link_trackingandtrait_number,link_trackingandtrait_numberunit,link_trackingandtrait_how,tablesfigures_forlinkingtraittrack,notes,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,Deciduous/evergreen,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,shoot length,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,# flowers,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,# fruits,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,leaf longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,bud break,temperature,yes,p<0.01,-10.2,-2.8,,temp increase was 2.9 c for conversion to degree days,days,flower longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,SLA,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,Deciduous/evergreen,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,shoot length,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,# flowers,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,# fruits,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,leaf longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,leaf senscence,temperature,yes,p<0.05,1.2,15.6,,temp increase was 2.9 c for conversion to degree days,days,flower longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,SLA,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,Deciduous/evergreen,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,shoot length,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,# flowers,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,# fruits,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,leaf longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of flowering,temperature,yes,P<0.01,-13.6,-0.8,,temp increase was 2.9 c for conversion to degree days,days,flower longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,SLA,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,Deciduous/evergreen,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,shoot length,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,# flowers,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,# fruits,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,leaf longevity,,didnottry,,,,,,,,,,
Zu2009,ks,subalpine timberline ecotone,Asia,"Wanlang National Nature Reserve, Eastern Tibetan Plateau",exp,1,across_species,4,angiosperms,,,timing of fruit coloring,temperature,yes,p<0.05,-8.2,-2.2,,temp increase was 2.9 c for conversion to degree days,days,flower longevity,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,snow removal,yes,p<0.001,0.5,8.7,,only one significant response to budbreak (-8.7),days,height,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,snow removal,yes,p<0.001,0.5,8.7,,only one significant response to budbreak (-8.7),days,perrenial/annual,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,snow removal,yes,p<0.001,0.5,8.7,,only one significant response to budbreak (-8.7),days,evergreen/deciduous,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,snow removal,yes,p<0.001,0.5,8.7,,only one significant response to budbreak (-8.7),days,woody/notwoody,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,snow removal,yes,p<0.001,0.5,8.7,,only one significant response to budbreak (-4.7),days,earliness,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,snow removal,yes,p<0.001,4.7,15.7,,only one significant response to budbreak (-15.7),days,height,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,snow removal,yes,p<0.001,4.7,15.7,,only one significant response to budbreak (-15.7),days,perrenial/annual,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,snow removal,yes,p<0.001,4.7,15.7,,only one significant response to budbreak (-15.7),days,evergreen/deciduous,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,snow removal,yes,p<0.001,4.7,15.7,,only one significant response to budbreak (-15.7),days,woody/notwoody,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,snow removal,yes,p<0.001,4.7,15.7,,only one significant response to budbreak (-15.7),days,earliness,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,temperature,no,p<0.001,-2,2.3,,nothing significant,days,height,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,temperature,no,p<0.001,-2,2.3,,nothing significant,days,perrenial/annual,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,temperature,no,p<0.001,-2,2.3,,nothing significant,days,evergreen/deciduous,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,temperature,no,p<0.001,-2,2.3,,nothing significant,days,woody/notwoody,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,budbreak,temperature,no,p<0.001,-2,2.3,,nothing significant,days,earliness,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,temperature,no,p<0.001,0,4,,nothing significant,days,height,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,temperature,no,p<0.001,0,4,,nothing significant,days,perrenial/annual,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,temperature,no,p<0.001,0,4,,nothing significant,days,evergreen/deciduous,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,temperature,no,p<0.001,0,4,,nothing significant,days,woody/notwoody,,didnottry,,,,,,,,,,
Sherwood2017,ks,flat montaine meadow,North America,"Grand teton National Park, Wyoming USA",exp,2,across_species,2,angiosperms,,,flowering,temperature,no,p<0.001,0,4,,nothing significant,days,earliness,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf emergance,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,earliness,,yes,,earlier species track more,,,,very loosly in discussion,,gave this as a theoretical option for tracking - no data to support this,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf emergance,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf water & nitrogen content,,yes,,species richer in leaf water and nitrogen track more,,,,very loosly in discussion,,gave this as a theoretical option for tracking - no data to support this,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf emergance,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf area,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf emergance,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf tannin content,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf emergance,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf toughness,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf unfolding,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,earliness,,yes,,earlier species track more,,,,very loosly in discussion,,gave this as a theoretical option for tracking - no data to support this,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf unfolding,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf water & nitrogen content,,yes,,species richer in leaf water and nitrogen track more,,,,very loosly in discussion,,gave this as a theoretical option for tracking - no data to support this,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf unfolding,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf area,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf unfolding,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf tannin content,,didnottry,,,,,,,,,,
Jing2016,ks,Subtropical evergreen broad-leaved forest,Asia,Tiantong National Forest Ecosystem Observation and Research Station of East China Normal Uni- versity,obs,4,across_species,4,angiosperms,,,leaf unfolding,temperature,yes,p<0.05,,,,They say there is tracking and give significance but do not give numbers,,leaf toughness,,didnottry,,,,,,,,,,
Adrian2006,ks,"Shallow, eutrophic, polymictic lake",Europe,"Berlin, Germany",obs,24,across_species,7,,,,,,,,,,,,,,,,,,,,,,,,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,100 - seed weight,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,height,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,canopy width,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,pods per plant,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,seed weight per plant,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
Sharma2019,ks,,,,exp,2,across_species,8,angiosperms,Cicer genus,Fabales,first flowering,photoperiod,yes,,77,10,,"natural daylength of 11-12 h was the control, tracking recorded as % reduction in days to flowering in the 15, 18, 21, and 24 hour daylight treatments",percent reduction in days to flowering,seeds per plant,,didnottry,,,,,,,,weird tracking units; should I do different phenophase entries for each photoperiod treatment they had?,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,breeding season,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,migration distance,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,habitat type,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,diet,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,mass,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,35,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-8.16,1.63,,,days/¡C,number of broods,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,36,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,breeding season,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,37,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,migration distance,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,38,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,habitat type,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,39,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,diet,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,40,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,mass,,didnottry,,,,,,,,,,
McDermott2016,ks,,Europe,"Laurel Highlands of Westmoreland Co., PA, USA",obs,41,across_species,21,passerine birds,,,juvenile capture date,temperature,yes,95% CI,-0.026,0.037,,,days/¡C,number of broods,,didnottry,,,,,,,,,,
Post1999,ks,,Europe,Norway,obs,49,across_species,7,angiosperms,,,first flowering,NAO (temperature and precipitation),yes,,13,26,,,days advanced,woody/herbaceous,,yes,positive,""" Woody plants were less responsive to fluctuations in the NAO""",,,,results - no stats,,no stats for linking trait and tracking; weird track_what (used North Atlantic Oscillation as a metric for both warming and precipitation changes),,
Post1999,ks,,Europe,Norway,obs,49,across_species,7,angiosperms,,,flowering duration,NAO (temperature and precipitation),yes,,13,19,,,days longer,woody/herbaceous,,yes,positive,""" Woody plants were less responsive to fluctuations in the NAO""",,,,results - no stats,,no stats for linking trait and tracking; weird track_what (used North Atlantic Oscillation as a metric for both warming and precipitation changes),,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,shade tolerance,,yes,negative,shade tolerant speciesare less likely to respond to the warming event,,-0.593,model estimate,p = 0.045,table 3,,,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,mean spring variability,,no but 'marginally significant',negative,species from areas with more variable springs are less likely to respond to the warming event,,-0.5,model estimate,p = 0.077,table 3,,,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,mean isotherm,,no but 'marginally significant',negative,species from areas with more variable temperature are less likely to respond to the warming event,,-0.641,model estimate,p =0.055,table 3,,,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,minnimum spring temperature,,no,,,,-0.198,model estimate,p = 0.461,table 3,,,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,growth habit,,no,,,,0.016,model estimate,p = 0.977,table 3,,,
Ladwig2019,ks,,North america,"Madison, Wisconsin, USA, in the Longenecker Horticultural Garden",obs,1,across_species,101,angiosperms,,,budbreak,temperature,,,,,,species 'track' if they responsed to the intense warming event (not sure if this counts as tracking),,wood anatomy,,no,,,,-0.102,model estimate,p = 0. 847,table 3,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,first emergance date,temperature,yes,SE=0.902,,,4.705,,days advanced,food type,,yes,negative,Noctuids with larvae feeding primarily on woods are shifting first emergence to later dates while species feeding on herbaceous plants advance first capture dates,,-0.395,model estimate,95% CI does not overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,first emergance date,temperature,yes,SE=0.902,,,4.705,,days advanced,migration strategy,,yes,negative,resident noctuids advanced climatic responsiveness measured as first capture dates to a greater degree than migratory species,,-0.547,model estimate,95% CI does not overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,first emergance date,temperature,yes,SE=0.902,,,4.705,,days advanced,habitat affinity,,no,positive,,,0.252,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,first emergance date,temperature,yes,SE=0.902,,,4.705,,days advanced,food specialization,,no,positive,,,0.224,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,first emergance date,temperature,yes,SE=0.902,,,4.705,,days advanced,hibernation stage,,no,positive,,,0.386,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,median emergance date,temperature,yes,SE=2.210,,,4.525,,days advanced,food type,,no,negative,,,-0.497,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,median emergance date,temperature,yes,SE=2.210,,,4.525,,days advanced,migration strategy,,no,negative,,,-0.376,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,median emergance date,temperature,yes,SE=2.210,,,4.525,,days advanced,habitat affinity,,no,positive,,,0.206,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,median emergance date,temperature,yes,SE=2.210,,,4.525,,days advanced,food specialization,,no,positive,,,0.0052,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2014,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,20,across_species,407,lepidopterans,,,median emergance date,temperature,yes,SE=2.210,,,4.525,,days advanced,hibernation stage,,no,positive,,,0.278,model estimate,95% CI does overlap 0,table 2,,,
VŽgv‡ri2015,ks,,Europe,"Tohonya Valley in Aggtelek National Park, northeast Hungary",obs,21,across_species,407,lepidopterans,,,last emergance date,temperature,yes,SE=1.325,,,7.547,,days advanced,food type,,yes,negative,species hibernating as imagos shifted last capture to later dates and prolonged activity length to a greater degree than noctuids hibernating as larvae or pupae,,-2.674,model estimate,95% CI does not overlap 0,table 2,,,
